"lat" "lon" "pm10"
50.0420036111111 14.4118261111111 23.1
50.0942383333333 14.4420488888889 35.8
50.1221886111111 14.4675780555556 19.1
50.0723877777778 14.4306727777778 32.3
50.0073052777778 14.4459333333333 30.3
50.0622977777778 14.53782 30.4
50.0880661111111 14.4292202777778 30.2
50.0304183333333 14.3095169444444 33.7
50.0814819444444 14.4426916666667 23.4
50.0731352777778 14.3981408333333 31.7
50.0751494444444 14.4726611111111 NA
50.0461311111111 14.3314133333333 25.8
50.1265297222222 14.3846388888889 31.2
50.0700530555556 14.4088611111111 39.7
50.0974616666667 14.3525666666667 30.7
50.0664291666667 14.4461516666667 37.5
50.1110802777778 14.5030955555556 27.4
49.9579277777778 14.0583 30.5
50.1898002777778 14.6604547222222 28.8
50.1545944444444 14.1898919444444 NA
50.1671141666667 14.1749497222222 NA
50.14386 14.1017838888889 24
50.1674116666667 14.1060475 47
50.0171508333333 15.2066297222222 25.4
49.9613 15.2731275 23.3
50.4286461111111 14.9138594444444 28.9
49.6849441666667 14.00774 25.3
50.2956580555556 15.1691083333333 NA
50.1705855555556 14.1905716666667 NA
48.9519005555556 14.4699163888889 21.4
48.9843863888889 14.4656838888889 18.4
48.9659041666667 14.5087919444444 23.3
49.0684355555556 13.6148013888889 6.4
49.0160866666667 14.0004444444444 19.7
49.4112319444444 14.6763886111111 32.7
49.1466713888889 14.1716672222222 25.9
49.4006080555556 13.2869233333333 25.4
49.722 13.6185377777778 22
49.7324486111111 13.4022808333333 27.1
49.7324486111111 13.4022808333333 NA
49.7283936111111 13.3755397222222 27.8
49.7473297222222 13.3810386111111 25.6
49.7701263888889 13.3682213888889 27.4
49.7617875 13.3816136111111 24
49.7459908333333 13.3207483333333 26.9
49.7686158333333 13.4233808333333 20.1
49.7324447222222 13.4023133333333 24
49.5525627777778 13.0674325 27.9
50.080555 12.3786105555556 26.6
50.0658608333333 12.3634425 14.6
50.2301636111111 12.8657111111111 28.1
50.1728247222222 12.6728180555556 16.5
50.4675291666667 13.4126958333333 24.5
50.7741508333333 14.2187938888889 34.9
50.4588547222222 14.1701622222222 27.5
50.4110488888889 13.4302386111111 25.4
50.5580558333333 13.8644858333333 24.4
50.6966705555555 13.8476916666667 37.1
50.5857658333333 13.6734180555556 37.8
50.4002188888889 14.3485394444444 22.2
50.5408975 14.1194086111111 25.7
50.4275894444444 13.1301430555556 13.2
50.4288902777778 13.7493944444444 29
50.5103644444444 13.6452722222222 34.7
50.4375266666667 13.186325 15.2
50.5798338888889 13.4195061111111 13.8
50.1698302777778 13.4827088888889 23.2
50.7894438888889 14.0867986111111 19.5
50.6452788888889 13.8512497222222 24.2
50.3765869444444 13.3276225 24.3
50.6647836111111 14.0266925 NA
50.6831244444444 13.9978733333333 37.7
50.683525 14.041195 24.3
