"lat" "lon" "pm10"
49.9449883333333 17.9095305555556 30.9
49.7960394444444 18.2471808333333 54.7
49.7209358333333 18.0893058333333 38.1
49.9275666666667 18.3618469444444 47.1
49.6723786111111 18.6430377777778 22.5
49.6681136111111 18.6777991666667 29.6
49.9246788888889 18.4228725 60.4
50.4333344444444 12.6133327777778 NA
50.3563880555556 12.4805555555556 14.1
50.4927788888889 12.1444444444444 18.9
50.6594427777778 13.4666672222222 13.1
51.1558341666667 14.9738894444444 NA
50.8936119444444 14.8244438888889 23
50.9127808333333 15.31417 NA
50.9713897222222 14.9427794444444 NA
50.7330588888889 16.6488894444444 NA
50.8583297222222 15.7349997222222 NA
50.4333333333333 16.6533297222222 NA
50.4335213888889 16.6561394444444 NA
51.1511116666667 15.4316702777778 NA
50.5924988888889 16.82028 NA
51.1444397222222 15.0249997222222 NA
